price,meters,rooms,Fix_zone,Fix_place_type,Fix_operation,currency,subzone1,subzone2,subzone3,Date,Urls
55000,50,3,Bsas Gba Norte,casa,alquiler,$,Jose C Paz,José C Paz,Arregui Y Guanacaste,2023/01/03,https://casa.mercadolibre.com.ar/MLA-1298317367-alquiler-casa-tortuguitas-jose-c-paz-con-parque-y-cochera-_JM
105000,70,3,Bsas Gba Norte,casa,alquiler,$,General San Martin,General San Martín, Villa José León Suárez,2023/01/03,https://casa.mercadolibre.com.ar/MLA-1298800191-casa-en-alquiler-en-chilavert-_JM
98000,90,3,Bsas Gba Norte,casa,alquiler,$,Tigre,Tigre, Ricardo Rojas,2023/01/03,https://casa.mercadolibre.com.ar/MLA-1298180825-casa-con-jardin-y-entrada-de-auto-en-alquiler-_JM
120000,90,3,Bsas Gba Norte,casa,alquiler,$,San Miguel,San Miguel,Santa Fe Av. Al 2800,2023/01/03,https://casa.mercadolibre.com.ar/MLA-1297724432-casa-en-alquiler-en-san-miguel-de-ghiso-_JM
95000,100,4,Bsas Gba Norte,ph,alquiler,$,General San Martin,General San Martín,Riobamba 2300,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1302551235-alquiler-duplex-4-amb-c-patio-en-san-martin-_JM
95000,56,2,Bsas Gba Norte,ph,alquiler,$,San Isidro,San Isidro, Villa Adelina,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1302521967-alquilerphvilla-adelinamuy-buena-ubicacionpileta2-ambie-_JM
150000,85,3,Bsas Gba Norte,ph,alquiler,$,San Isidro,San Isidro,Pampa Al 500,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1303309804-alquiler-ph-3-ambientes-en-san-isidro-_JM
69000,75,3,Bsas Gba Norte,ph,alquiler,$,Jose C Paz,José C Paz,Capitán Martínez,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1301674905-duplex-en-alquiler-a-50-mt-de-ruta-8-_JM
69000,35,1,Bsas Gba Norte,ph,alquiler,$,San Isidro,San Isidro, Entre Francia Y Liniers,2023/01/07,https://inmueble.mercadolibre.com.ar/MLA-1301683831-ph-1-ambiente-alquiler-san-isidro-_JM
130000,73,2,Bsas Gba Norte,departamento,alquiler,$,Tigre,Tigre, Nordelta Mirador De La Bahía,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302527966-departamento-miradores-de-la-bahia-_JM
138000,70,4,Bsas Gba Norte,departamento,alquiler,$,Vicente Lopez,Vicente López,Roca Al 1400,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1301643032-vicente-lopez-3-dormitorios-2-banos-_JM
160000,85,3,Bsas Gba Norte,departamento,alquiler,$,Vicente Lopez,Vicente López,Roca Al 1400,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302512538-vlopez-viasmaipu-alquiler-3-ambientes-con-cochera-_JM
56000,45,2,Bsas Gba Norte,departamento,alquiler,$,General San Martin,General San Martín, Villa Ballester,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1301668621-excelente-oficina-2-amb-2-piso-con-balcon-_JM
126000,50,2,Bsas Gba Norte,departamento,alquiler,$,Tigre,Tigre, Nordelta Sendero,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302516995-departamento-en-alquiler-lagos-del-sendero-nordelta-_JM
53000,32,1,Bsas Gba Norte,departamento,alquiler,$,Pilar,Pilar, Villa Rosa,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1301690902-alquiler-departamento-c-cochera-club-bamboo-pilar-_JM
110000,70,3,Bsas Gba Norte,departamento,alquiler,$,Pilar,Pilar,Excelente Departamento De 3 Ambientes En Venta La Nazarena,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302540741-excelente-departamento-en-venta-de-3-ambientes-condominio-la-nazarena-_JM
130000,52,3,Bsas Gba Norte,departamento,alquiler,$,San Isidro,San Isidro, Martínez,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302471082-muy-buen-departamento-de-tres-ambientes-en-plena-zona-residencial-de-martinez-_JM
84900,46,2,Bsas Gba Norte,departamento,alquiler,$,General San Martin,General San Martín, Villa Ballester,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302511660-ballester-centro-piso-7-excelente-vista-cochera-opcional-_JM
88000,44,2,Bsas Gba Norte,departamento,alquiler,$,San Isidro,San Isidro,Chacabuco Al 600. Entre Primera Junta  Y Almirante Brown,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302521041-departamento-alquiler-2-ambientes-san-isidro-_JM
70000,60,2,Bsas Gba Norte,departamento,alquiler,$,General San Martin,General San Martín,Pueyrredon Al 3400,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1303309855-departamento-general-san-martin-_JM
150000,56,3,Bsas Gba Norte,departamento,alquiler,$,Vicente Lopez,Vicente López,Vergara 873,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302553898-retasado-departamento-vergara-873-_JM
