price,meters,rooms,Fix_zone,Fix_place_type,Fix_operation,currency,subzone1,subzone2,subzone3,Date,Urls
75000,40,2,Capital Federal,departamento,alquiler,$,Villa Luro,Villa Luro,Manuel Artigas 5196,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298844373-alquiler-dto-2-ambientes-al-frente-con-balcon-torres-sol-de-luro-_JM
55000,34,1,Capital Federal,departamento,alquiler,$,Villa Pueyrredon,Villa Pueyrredón,Av. Del Carril Al 3000. Entre Argerich Y Helguera,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297833664-monoambiente-alquiler-villa-pueyrredon-_JM
55000,27,1,Capital Federal,departamento,alquiler,$,Retiro,Retiro,Suipacha 900,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297771170-departamento-monoambiente-retiro-_JM
55000,32,1,Capital Federal,departamento,alquiler,$,Monserrat,Monserrat, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297808184-monoambiente-amplio-luminoso-en-edificio-con-piscina-_JM
80000,30,1,Capital Federal,departamento,alquiler,$,Villa Pueyrredon,Villa Pueyrredón,Gabriela Mistral 2946. Entre Nazca Y Argerich,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297835621-departamento-en-alquiler-en-villa-pueyrredon-_JM
65000,54,2,Capital Federal,departamento,alquiler,$,Balvanera,Balvanera, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298314425-dos-ambientes-al-frente-con-balcon-_JM
60000,30,1,Capital Federal,departamento,alquiler,$,Mataderos,Mataderos, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297816308-departamento-monoambiente-a-estrenar-al-cfrente-con-balcon-_JM
88000,58,3,Capital Federal,departamento,alquiler,$,Villa Del Parque,Villa Del Parque, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297833698-dueno-alquila-solo-profesionales-depto-3-ambientes-_JM
73000,33,1,Capital Federal,departamento,alquiler,$,Nuñez,Núñez,Amenabar Al 3200,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297813816-departamento-monoambiente-en-alquiler-en-nunez-amenabar-3229-_JM
85000,39,1,Capital Federal,departamento,alquiler,$,Urquiza,Villa Urquiza, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298208950-dueno-alquila-hermoso-monoambiente-apto-profesional-con-excelente-ubicacion-oportunidad-_JM
80000,40,2,Capital Federal,departamento,alquiler,$,Villa Del Parque,Villa Del Parque,Melincue Al 3000. Entre Helguera Y Argerich,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297827758-departamento-2-ambientes-alquiler-villa-del-parque-_JM
60000,60,2,Capital Federal,departamento,alquiler,$,San Cristobal,San Cristóbal,Combate De Los Pozos  1200,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298604504-departamento-2-ambientes-cocina-separada-_JM
130000,72,4,Capital Federal,departamento,alquiler,$,Nuñez,Núñez, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298213173-4-ambientes-con-vista-panoramica-_JM
130000,52,3,Capital Federal,departamento,alquiler,$,Colegiales,Colegiales, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298482777-hermoso-departamento-3-ambientes-a-nuevo-_JM
85000,48,2,Capital Federal,departamento,alquiler,$,Palermo,Palermo,Salguero 1950,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298219490-depto-2-ambientes-pb-salguero-1900-amplio-patio-alto-palermo-_JM
70000,42,2,Capital Federal,departamento,alquiler,$,Villa Pueyrredon,Villa Pueyrredón, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297845016-departamento-2-ambientes-muy-luminoso-_JM
69000,40,1,Capital Federal,departamento,alquiler,$,Santa Rita,Santa Rita,Terrada Sn,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297831697-alquiler-depto-2-ambientes-santa-rita-_JM
59000,40,1,Capital Federal,departamento,alquiler,$,Almagro,Almagro, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1297811904-alquilo-ph-sin-expensas-1-amb-al-frente-c-entrada-individual-_JM
80000,45,3,Capital Federal,departamento,alquiler,$,Caballito,Caballito, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298247328-departamento-muy-buen-estado-3-ambientes-_JM
105000,50,3,Capital Federal,departamento,alquiler,$,Caballito,Caballito, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298458648-departamento-en-pedro-goyena-y-thorne-inmejorable-ubicacion-_JM
55000,38,2,Capital Federal,departamento,alquiler,$,Balvanera,Balvanera, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298311344-departamento-en-alquiler-para-vivienda-u-oficina-_JM
70000,60,3,Capital Federal,departamento,alquiler,$,Parque Patricios,Parque Patricios,Matheu  1700,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298606504-lindo-departamento-en-parque-patricios-_JM
50000,25,1,Capital Federal,departamento,alquiler,$,San Telmo,San Telmo,Humberto I 602,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298213312-alquilo-dto-1-amb-en-san-telmo-caba-_JM
60000,40,2,Capital Federal,departamento,alquiler,$,Paternal,Paternal,Belaustegui  860,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298252470-alquiler-depto-2-ambientes-en-belaustegui-y-cucha-cucha-_JM
55000,47,2,Capital Federal,departamento,alquiler,$,Congreso,Congreso, Argentina,2023/01/03,https://departamento.mercadolibre.com.ar/MLA-1298252401-departamento-congreso-caba-1-dormitorio-47-m2-al-frente-luminoso-_JM
110000,95,4,Capital Federal,casa,alquiler,$,Pompeya,Nueva Pompeya,Comuna 4,2023/01/03,https://casa.mercadolibre.com.ar/MLA-1297826218-casa-en-alquiler-de-3-dormitorios-en-nueva-pompeya-_JM
160000,120,3,Capital Federal,casa,alquiler,$,Villa Luro,Villa Luro,Manzoni 281,2023/01/03,https://casa.mercadolibre.com.ar/MLA-1298135801-casa-4-ambientes-en-alquiler-villa-luro-uso-comercial-_JM
87000,80,3,Capital Federal,departamento,alquiler,$,Flores,Flores,0,2023/01/03,/departamento-en-alquiler-en-flores-3-ambientes--6196530
180000,45,2,Capital Federal,departamento,alquiler,$,Palermo,Palermo,0,2023/01/03,/departamento-en-alquiler-en-palermo--12456287
140000,76,3,Capital Federal,departamento,alquiler,$,Nuñez,Nuñez,0,2023/01/03,/departamento-en-alquiler-en-nunez-3-ambientes--12442741
90000,35,1,Capital Federal,departamento,alquiler,$,Palermo,Palermo Soho,0,2023/01/03,/departamento-en-alquiler-en-palermo-soho--5351358
100000,62,2,Capital Federal,departamento,alquiler,$,Parque Patricios,Parque Patricios,0,2023/01/03,/departamento-en-alquiler-en-parque-patricios-2-ambientes--12456336
70000,37,2,Capital Federal,departamento,alquiler,$,Barrio Norte,Recoleta,0,2023/01/03,/departamento-en-alquiler-en-recoleta-2-ambientes--3017192
75000,50,3,Capital Federal,departamento,alquiler,$,Floresta,Floresta,0,2023/01/03,/departamento-en-alquiler-en-floresta-3-ambientes--12453864
230000,93,4,Capital Federal,departamento,alquiler,$,Palermo,Palermo,0,2023/01/03,/departamento-en-alquiler-en-palermo--12247185
130000,50,2,Capital Federal,departamento,alquiler,$,Nuñez,Nuñez,0,2023/01/03,/departamento-en-alquiler-en-nunez-2-ambientes--12455970
79000,42,2,Capital Federal,departamento,alquiler,$,Belgrano,Belgrano,0,2023/01/03,/departamento-en-alquiler-en-belgrano-2-ambientes--12456272
79000,40,1,Capital Federal,departamento,alquiler,$,Villa Devoto,Villa Devoto,0,2023/01/03,/departamento-en-alquiler-en-villa-devoto-1-ambiente--12454207
65000,43,3,Capital Federal,departamento,alquiler,$,Balvanera,Balvanera,0,2023/01/03,/departamento-en-alquiler-en-balvanera-3-ambientes--12456240
75000,50,2,Capital Federal,departamento,alquiler,$,Boedo,Boedo,0,2023/01/03,/departamento-en-alquiler-en-boedo-2-ambientes--12456239
130000,57,2,Capital Federal,departamento,alquiler,$,Palermo,Palermo,0,2023/01/03,/departamento-en-alquiler-en-palermo-2-ambientes--12455916
75000,41,2,Capital Federal,departamento,alquiler,$,Boedo,Boedo,0,2023/01/03,/departamento-en-alquiler-en-boedo-2-ambientes--12456165
50000,47,2,Capital Federal,departamento,alquiler,$,Constitucion,Constitucion,0,2023/01/03,/departamento-en-alquiler-en-constitucion-2-ambientes--12450319
69000,25,1,Capital Federal,departamento,alquiler,$,Palermo,Palermo,0,2023/01/03,/departamento-en-alquiler-en-palermo-1-ambiente--12452683
135000,50,3,Capital Federal,departamento,alquiler,$,Belgrano,Belgrano,0,2023/01/03,/departamento-en-alquiler-en-belgrano-3-ambientes--12122831
180000,87,4,Capital Federal,departamento,alquiler,$,Belgrano,Belgrano,0,2023/01/03,/departamento-en-alquiler-en-belgrano-4-ambientes--12272078
80000,38,2,Capital Federal,departamento,alquiler,$,Boedo,Boedo,0,2023/01/03,/departamento-en-alquiler-en-boedo-2-ambientes--12456023
70000,30,1,Capital Federal,departamento,alquiler,$,Barrio Norte,Recoleta,0,2023/01/03,/departamento-en-alquiler-en-recoleta-1-ambiente--12246119
155000,55,3,Capital Federal,departamento,alquiler,$,Palermo,Palermo Hollywood,0,2023/01/03,/departamento-en-alquiler-en-palermo-hollywood-3-ambientes--12447264
100000,58,2,Capital Federal,departamento,alquiler,$,Villa Luro,Villa Luro,0,2023/01/03,/departamento-en-alquiler-en-villa-luro-2-ambientes--3184348
65000,25,1,Capital Federal,departamento,alquiler,$,Paternal,Paternal,0,2023/01/03,/departamento-en-alquiler-en-paternal-1-ambiente--12454572
110000,62,3,Capital Federal,departamento,alquiler,$,Flores,Flores,0,2023/01/03,/departamento-en-alquiler-en-flores-3-ambientes--12455957
110000,47,3,Capital Federal,departamento,alquiler,$,Caballito,Caballito,0,2023/01/03,/departamento-en-alquiler-en-caballito-3-ambientes--12437451
50000,35,2,Capital Federal,departamento,alquiler,$,Villa Devoto,Villa Devoto,0,2023/01/03,/departamento-en-alquiler-en-villa-devoto-2-ambientes--12455906
80000,39,2,Capital Federal,departamento,alquiler,$,Parque Patricios,Parque Patricios,0,2023/01/03,/departamento-en-alquiler-en-parque-patricios-2-ambientes--12446054
68500,30,1,Capital Federal,departamento,alquiler,$,Urquiza,Urquiza R,0,2023/01/03,/departamento-en-alquiler-en-urquiza-r-1-ambiente--12444126
120000,80,4,Capital Federal,departamento,alquiler,$,San Telmo,San Telmo,0,2023/01/03,/departamento-en-alquiler-en-san-telmo-4-ambientes--12127841
60000,33,2,Capital Federal,departamento,alquiler,$,Chacarita,Chacarita,0,2023/01/03,/departamento-en-alquiler-en-chacarita-2-ambientes--12455817
60000,35,1,Capital Federal,departamento,alquiler,$,Almagro,Almagro,0,2023/01/03,/departamento-en-alquiler-en-almagro-1-ambiente--12454652
129000,65,3,Capital Federal,departamento,alquiler,$,Colegiales,Colegiales,0,2023/01/03,/departamento-en-alquiler-en-colegiales-3-ambientes--12455761
83000,50,2,Capital Federal,departamento,alquiler,$,Urquiza,Parque Chas,0,2023/01/03,/departamento-en-alquiler-en-parque-chas-2-ambientes--12455705
95000,40,2,Capital Federal,departamento,alquiler,$,Barrio Norte,Barrio Norte,0,2023/01/03,/departamento-en-alquiler-en-barrio-norte-2-ambientes--12428942
100000,47,2,Capital Federal,departamento,alquiler,$,Belgrano,Belgrano,0,2023/01/03,/departamento-en-alquiler-en-belgrano-2-ambientes--12455632
150000,62,2,Capital Federal,departamento,alquiler,$,Nuñez,Nuñez,0,2023/01/03,/departamento-en-alquiler-en-nunez-2-ambientes--11969808
250000,112,3,Capital Federal,departamento,alquiler,$,Centro,Retiro,0,2023/01/03,/departamento-en-alquiler-en-retiro-3-ambientes--12266839
110000,55,3,Capital Federal,departamento,alquiler,$,Nuñez,Nuñez,0,2023/01/03,/departamento-en-alquiler-en-nunez-3-ambientes--12079180
75000,28,1,Capital Federal,departamento,alquiler,$,Palermo,Palermo Hollywood,0,2023/01/03,/departamento-en-alquiler-en-palermo-hollywood-1-ambiente--3148844
105000,58,3,Capital Federal,departamento,alquiler,$,Villa Devoto,Villa Devoto,0,2023/01/03,/departamento-en-alquiler-en-villa-devoto-3-ambientes--12423471
60000,43,3,Capital Federal,departamento,alquiler,$,Almagro,Almagro,0,2023/01/03,/departamento-en-alquiler-en-almagro-3-ambientes--12455483
145000,55,3,Capital Federal,departamento,alquiler,$,Belgrano,Belgrano,0,2023/01/03,/departamento-en-alquiler-en-belgrano-3-ambientes--12455482
70000,40,2,Capital Federal,departamento,alquiler,$,Villa del Parque,Villa del Parque,0,2023/01/03,/departamento-en-alquiler-en-villa-del-parque-2-ambientes--8253887
145000,52,2,Capital Federal,departamento,alquiler,$,Almagro,Almagro,0,2023/01/03,/departamento-en-alquiler-en-almagro-2-ambientes--12387359
